uid_number,from,to,type,knowledgeLevel,ecosystemContext,reportedIn,taxonAttribute,conditions,Notes
1001,101,102,DESCRIBES_OUTCOME_OF,,Annual croplands,10.1111/rec.12987,,,article to process
1002,102,103,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,,,seeding to floral abundance 
1005,102,105,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,,,seeding porcess to species ricness 
1006,102,106,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,seeding to taxon 
1007,102,107,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1008,102,108,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1009,102,109,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1010,102,110,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1011,102,111,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1012,102,112,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1013,102,113,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1014,102,114,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1015,102,115,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1016,102,116,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1017,102,117,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1018,102,118,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1019,102,119,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1020,102,120,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1021,102,121,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1022,102,122,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1023,102,123,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1024,102,124,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1025,102,125,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1026,102,126,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1027,102,127,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1028,102,128,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1029,102,129,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1030,102,130,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1031,102,131,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1032,102,132,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1033,102,133,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1034,102,134,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1035,102,135,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1036,102,136,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1037,102,137,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1038,102,138,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1039,102,139,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1040,102,140,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1041,102,141,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1042,102,142,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1043,102,143,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1044,102,144,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1045,102,145,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1046,102,146,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1047,102,147,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1048,102,148,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1049,102,149,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1050,102,150,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1051,102,151,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1052,102,152,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1053,102,153,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1054,102,154,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1055,102,155,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1056,102,156,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1057,102,157,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1058,102,158,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1059,102,159,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1060,102,160,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1061,102,161,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1062,102,162,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1063,102,163,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1064,102,164,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1065,102,165,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1066,102,166,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1067,102,167,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1068,102,168,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1069,102,169,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1070,102,170,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1071,102,171,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1072,102,172,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1073,102,173,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1074,102,174,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1075,102,175,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1076,102,176,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1077,102,177,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1078,102,178,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1079,102,179,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1080,102,180,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1081,102,181,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1082,102,182,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1083,102,183,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1084,102,184,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1085,102,185,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1086,102,186,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1087,102,187,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1088,102,188,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1089,102,189,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1090,102,190,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1091,102,191,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1092,102,192,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1093,102,193,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1094,102,194,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1095,102,195,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1096,102,196,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1097,102,197,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1098,102,198,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1099,102,199,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1100,102,200,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1101,102,201,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1102,102,202,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1103,102,203,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1104,102,204,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1105,102,205,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1106,102,206,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1107,102,207,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1108,102,208,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1109,102,209,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1110,102,210,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1111,102,211,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1112,102,212,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1113,102,213,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1114,102,214,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1115,102,215,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1116,102,216,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1117,102,217,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1118,102,218,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1119,102,219,POSITIVELY_ASSOCIATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,Last seeding process to bee species
1120,106,103,POSITIVELY_CORRELATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,bee species to floral abundance 
1121,107,103,POSITIVELY_CORRELATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1122,108,103,POSITIVELY_CORRELATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1123,109,103,POSITIVELY_CORRELATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1124,110,103,POSITIVELY_CORRELATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1125,111,103,POSITIVELY_CORRELATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1126,112,103,POSITIVELY_CORRELATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1127,113,103,POSITIVELY_CORRELATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1128,114,103,POSITIVELY_CORRELATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1129,115,103,POSITIVELY_CORRELATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1130,116,103,POSITIVELY_CORRELATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1131,117,103,POSITIVELY_CORRELATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1132,118,103,POSITIVELY_CORRELATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1133,119,103,POSITIVELY_CORRELATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1134,120,103,POSITIVELY_CORRELATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1135,121,103,POSITIVELY_CORRELATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1136,122,103,POSITIVELY_CORRELATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1137,123,103,POSITIVELY_CORRELATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1138,124,103,POSITIVELY_CORRELATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1139,125,103,POSITIVELY_CORRELATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1140,126,103,POSITIVELY_CORRELATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1141,127,103,POSITIVELY_CORRELATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1142,128,103,POSITIVELY_CORRELATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1143,129,103,POSITIVELY_CORRELATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1144,130,103,POSITIVELY_CORRELATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1145,131,103,POSITIVELY_CORRELATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1146,132,103,POSITIVELY_CORRELATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1147,133,103,POSITIVELY_CORRELATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1148,134,103,POSITIVELY_CORRELATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1149,135,103,POSITIVELY_CORRELATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1150,136,103,POSITIVELY_CORRELATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1151,137,103,POSITIVELY_CORRELATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1152,138,103,POSITIVELY_CORRELATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1153,139,103,POSITIVELY_CORRELATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1154,140,103,POSITIVELY_CORRELATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1155,141,103,POSITIVELY_CORRELATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1156,142,103,POSITIVELY_CORRELATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1157,143,103,POSITIVELY_CORRELATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1158,144,103,POSITIVELY_CORRELATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1159,145,103,POSITIVELY_CORRELATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1160,146,103,POSITIVELY_CORRELATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1161,147,103,POSITIVELY_CORRELATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1162,148,103,POSITIVELY_CORRELATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1163,149,103,POSITIVELY_CORRELATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1164,150,103,POSITIVELY_CORRELATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1165,151,103,POSITIVELY_CORRELATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1166,152,103,POSITIVELY_CORRELATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1167,153,103,POSITIVELY_CORRELATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1168,154,103,POSITIVELY_CORRELATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1169,155,103,POSITIVELY_CORRELATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1170,156,103,POSITIVELY_CORRELATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1171,157,103,POSITIVELY_CORRELATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1172,158,103,POSITIVELY_CORRELATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1173,159,103,POSITIVELY_CORRELATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1174,160,103,POSITIVELY_CORRELATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1175,161,103,POSITIVELY_CORRELATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1176,162,103,POSITIVELY_CORRELATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1177,163,103,POSITIVELY_CORRELATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1178,164,103,POSITIVELY_CORRELATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1179,165,103,POSITIVELY_CORRELATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1180,166,103,POSITIVELY_CORRELATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1181,167,103,POSITIVELY_CORRELATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1182,168,103,POSITIVELY_CORRELATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1183,169,103,POSITIVELY_CORRELATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1184,170,103,POSITIVELY_CORRELATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1185,171,103,POSITIVELY_CORRELATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1186,172,103,POSITIVELY_CORRELATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1187,173,103,POSITIVELY_CORRELATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1188,174,103,POSITIVELY_CORRELATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
1189,175,103,POSITIVELY_CORRELATED_WITH,observation,Annual croplands,10.1111/rec.12987,Abundance,,""""
